ma,year,MAR,NI,DR_SYNCH,MCAP,LEV,M/B,Year_2016,Year_2017,Year_2018,Year_2019,Year_2020,Year_2021,Year_2022,Year_2023,Industry_Congnghethongtin,Industry_Daukhi,Industry_Dichvutieudung,Industry_Duocphamvayte,Industry_Hangtieudung,Industry_Nguyenvatlieu,Industry_Taichinh,Industry_Tienichcongdong,Industry_Vienthong
ANV,2023,-0.050928097,0.009709001,10,29.16584366,0.442978583,1.629465971,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
APH,2020,-0.11725385,0.024194443,10,29.19274113,0.578996758,1.085249734,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
APH,2021,-0.42549393,0.05002071,10,27.99371684,0.517934424,0.241833035,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
APH,2022,-0.469841563,0.039945811,10,28.34260975,0.501656815,0.325628814,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
APH,2023,-0.114486806,0.107637762,9,28.09483401,0.537083134,0.277633431,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
API,2016,0.201650374,-0.00913125,5,27.68513044,0.480602521,2.828131065,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
API,2017,-0.08442641,0.057495167,1,27.36710765,0.660483676,1.769914249,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
API,2018,-0.014604607,0.045292601,4,26.77742345,0.727353903,0.908585759,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
API,2019,-0.599910531,0.05678074,1,27.08415372,0.799039541,1.174169161,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
API,2020,-0.272336003,0.088844577,5,28.42870848,0.817242654,4.134305752,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
API,2021,0.659457656,0.090761817,7,26.5413765,0.703494976,0.397995522,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
API,2022,-0.300247497,0.360597754,9,26.8414808,0.611279446,0.460894602,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
API,2023,-0.608283147,-0.11852182,8,27.31840488,0.592582942,0.7854589,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
ARM,2016,0.057015409,0.103230304,10,25.14171697,0.628977203,2.207696913,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ARM,2017,-0.46763611,0.098393209,6,25.18752651,0.692931042,2.271554263,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ARM,2018,0.540919157,0.078543357,7,25.25950001,0.650386286,2.325106935,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ARM,2019,-0.438443795,0.080243895,3,25.48264356,0.740103122,2.793500908,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
ARM,2020,0.003516894,0.014867709,4,25.77032563,0.811976956,4.272652866,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
ARM,2021,-0.212809976,0.012416095,5,25.77032402,0.696557246,4.275335724,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
ARM,2022,0.645345466,0.015254409,3,24.95387863,0.701185691,1.92634279,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
ARM,2023,-0.436877478,0.056835741,6,25.19050553,0.789393918,2.328480185,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
ASG,2020,-0.321695809,0.031426976,6,28.2028836,0.337743173,1.339899289,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
ASG,2021,-0.318165402,0.019668892,7,28.24606493,0.354986379,1.340923769,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
ASG,2022,0.176458659,0.081745776,5,28.20643513,0.394158063,0.946125365,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
ASG,2023,-0.17738303,0.015200725,4,28.10107462,0.39333165,0.864718365,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
ASM,2016,-0.290783228,0.047887643,8,28.53698814,0.458137132,0.935622755,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ASM,2017,-0.460860608,0.067790776,7,28.31484409,0.493564467,0.697320039,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ASM,2018,-0.367482796,0.604548042,9,28.04130652,0.520904178,0.26270607,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ASM,2019,0.038847563,0.54625809,6,29.17825409,0.595938287,0.745564358,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
ASM,2020,1.683365117,0.121818316,9,28.98429483,0.609641204,0.563156757,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
ASM,2021,0.328951921,0.181879816,9,28.44863723,0.583009949,0.298969391,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
